id_place,id_person,time_in,time_out
1,0,3,9
0,1,8,13
0,0,9,13
4,2,12,33
1,3,19,23
2,3,23,30
3,4,25,29
2,5,27,33
1,4,29,35
0,3,30,33
0,2,33,37
0,5,33,40
1,7,36,41
2,8,40,46
0,7,41,44
0,8,46,49
0,9,47,53
3,8,49,52
1,8,52,59
1,10,53,57
3,10,57,60
0,11,57,62
4,10,60,81
1,12,61,66
1,13,63,66
3,13,66,71
0,12,66,70
0,14,68,73
2,12,70,76
4,15,73,92
1,16,78,83
1,17,82,88
2,16,83,88
3,16,88,90
0,18,88,90
0,16,90,92
1,18,90,94
3,19,91,93
2,19,93,98
0,20,96,103
1,21,100,105
1,20,103,107
1,22,105,112
0,21,105,113
0,22,112,119
1,24,115,119
0,24,119,127
1,25,120,121
0,25,121,126
0,26,124,132
4,25,126,146
1,27,130,136
1,26,132,138
2,27,136,140
3,27,140,142
0,29,141,145
0,27,142,147
0,30,145,148
2,25,146,151
2,31,152,157
2,32,156,160
1,31,157,161
1,33,159,167
0,32,160,165
1,32,165,170
1,34,165,170
0,33,167,170
2,33,170,175
1,35,170,174
3,37,180,184
0,38,186,193
2,40,191,198
2,38,193,198
0,41,194,199
4,42,197,218
4,38,198,217
1,41,199,204
2,43,203,207
1,43,207,212
1,44,207,212
0,44,212,215
0,45,212,217
2,45,217,222
4,46,218,238
3,42,218,220
0,42,220,226
1,45,222,228
3,47,224,226
1,47,226,233
1,48,230,234
0,47,233,238
1,49,235,241
1,46,238,242
0,46,242,249
4,50,243,268
1,51,249,255
3,52,253,254
4,52,254,277
2,51,255,258
0,53,256,262
3,54,261,262
2,54,262,265
0,54,265,269
2,55,266,271
0,50,268,270
1,54,269,273
1,50,270,274
1,55,271,277
0,56,272,279
0,57,275,279
1,52,277,282
3,57,279,283
0,52,282,287
1,58,282,288
0,60,292,299
1,61,298,304
1,60,299,305
1,62,303,308
2,61,304,309
2,62,308,311
0,62,311,318
1,64,313,321
1,65,318,324
3,64,321,325
1,66,323,328
0,64,325,332
0,67,325,329
0,66,328,333
2,68,332,338
0,69,335,342
1,68,338,343
1,70,339,343
4,71,343,365
0,68,343,347
0,72,346,354
0,73,351,356
4,74,355,376
1,73,356,361
3,71,365,368
1,76,366,373
1,77,372,379
2,76,373,376
2,74,376,380
0,76,376,382
0,77,379,384
0,74,380,386
4,77,384,404
0,79,384,386
3,80,392,395
1,80,395,401
0,81,397,403
0,80,401,405
2,82,401,406
1,81,403,410
3,82,406,410
0,84,409,414
1,82,410,416
1,84,414,420
1,85,415,421
2,85,421,427
1,86,421,426
0,87,426,428
0,85,427,430
2,87,428,434
0,88,431,437
4,87,434,456
3,88,437,441
4,89,438,457
1,90,442,444
0,92,450,454
1,92,454,460
1,93,454,457
1,87,456,462
0,94,456,460
4,93,457,475
3,94,460,463
0,95,462,469
0,96,466,470
2,95,469,473
1,96,470,476
0,97,470,475
1,97,475,478
2,99,480,484
3,99,484,485
4,100,484,504
4,101,488,507
1,102,493,498
0,103,498,502
0,102,498,503
1,103,502,506
0,100,504,509
3,104,504,507
1,104,507,511
0,101,507,511
1,105,509,514
2,104,511,517
1,106,512,517
0,107,516,523
0,104,517,523
0,106,517,523
3,108,521,522
1,108,522,528
1,109,523,529
0,110,529,533
2,109,529,536
0,109,536,541
1,111,536,538
4,111,538,559
1,112,542,547
3,113,547,550
2,113,550,556
0,114,553,562
1,113,556,561
0,115,556,560
0,111,559,565
1,115,560,564
4,116,560,579
0,113,561,565
2,114,562,569
1,117,565,570
3,118,569,573
4,117,570,592
1,118,573,578
0,119,574,581
0,118,578,579
0,116,579,583
0,120,581,586
1,119,581,584
1,116,583,588
3,119,584,586
1,120,586,590
2,121,587,592
2,116,588,595
4,120,590,609
0,117,592,597
1,121,592,596
0,123,594,598
3,117,597,602
1,124,598,602
3,124,602,605
0,125,603,608
0,124,605,609
4,126,607,623
2,125,608,612
2,120,609,613
4,128,616,637
0,129,621,626
3,126,623,626
0,130,624,628
1,129,626,633
0,126,626,630
1,131,628,633
1,126,630,634
0,131,633,636
1,128,637,640
2,134,638,644
0,135,641,646
1,134,644,650
1,136,645,651
1,135,646,651
1,137,650,657
3,136,651,656
3,137,657,663
4,138,657,675
2,139,663,668
0,140,668,674
3,139,668,672
1,139,672,678
1,141,673,680
2,140,674,680
0,138,675,679
0,142,678,685
0,139,678,685
1,138,679,681
4,140,680,697
1,143,685,693
4,144,690,710
2,143,693,698
1,145,694,699
3,140,697,701
0,146,697,703
0,145,699,704
1,140,701,706
1,147,702,705
1,146,703,706
3,147,705,707
2,147,707,713
1,148,709,714
1,144,710,714
0,147,713,719
2,148,714,719
1,149,714,720
0,150,717,723
1,151,723,729
1,150,723,728
1,152,728,731
4,150,728,749
0,151,729,736
